1st Sem,2nd Sem,3rd Sem,4th Sem,5th Sem,College Code,Gender
8.11,7.68,7.11,7.43,8.18,112,Female
6.48,5.9,4.15,4.29,4.96,115,Male
8.41,8.24,7.52,8.25,7.75,114,Female
7.33,6.83,6.33,6.79,6.89,115,Male
7.89,7.34,7.22,7.32,7.46,115,Male
7.33,6.72,6.48,6.5,7.39,111,Male
7.15,6.72,6.89,6.86,7.64,115,Male
6.74,6.38,4.93,5.64,6.75,111,Male
7.89,7.45,6.96,7.71,8,115,Female
7.3,6.34,6.3,6.61,6.18,111,Male
8,7.9,7.52,7.64,8.11,115,Male
6.78,4.28,5.81,6.04,6.39,115,Male
5.67,5.62,5.48,5.93,6.75,115,Male
6.33,6.41,6.41,6.93,7,112,Male
6.44,6.21,6.19,6.68,6.86,115,Male
6.3,6.17,5.59,5.89,6.36,112,Male
6.96,6.14,6.93,7.18,7.29,115,Male
6.7,6.45,5.78,6,6.61,113,Male
7.41,6.93,7.33,7.71,8.46,114,Male
7.04,6.31,6.44,7.21,7.32,115,Male
6.63,5.62,6.11,5.79,6.25,115,Male
8.33,8.72,7.81,8.04,8.93,112,Female
7.96,7.93,7.78,8.21,8.21,113,Male
6.89,5.55,5.93,6.79,7.54,114,Male
8.19,8.17,7.15,7.75,7.64,115,Male
7.89,6.69,7.15,8.43,8.36,115,Female
7.33,6.55,5.96,6.75,6.89,115,Male
8.22,8.17,8.37,9.04,9,115,Male
7.44,7.59,7.26,7.89,7.86,115,Male
5.74,6.45,6.48,7.29,7.61,115,Male
6.81,6.79,6.3,7.14,7.86,115,Female
8.89,8.31,7.3,9.25,8.5,115,Female
8.04,7.59,7.22,8.32,8.82,115,Male
8.3,8.38,7.63,7.93,8.75,115,Male
